location,Number of Homicide Convictions,Percentage of Homicide Convictions,Number of Homicide Unsuccessful,Percentage of Homicide Unsuccessful,Number of Offences Against The Person Convictions,Percentage of Offences Against The Person Convictions,Number of Offences Against The Person Unsuccessful,Percentage of Offences Against The Person Unsuccessful,Number of Sexual Offences Convictions,Percentage of Sexual Offences Convictions,Number of Sexual Offences Unsuccessful,Percentage of Sexual Offences Unsuccessful,Number of Burglary Convictions,Percentage of Burglary Convictions,Number of Burglary Unsuccessful,Percentage of Burglary Unsuccessful,Number of Robbery Convictions,Percentage of Robbery Convictions,Number of Robbery Unsuccessful,Percentage of Robbery Unsuccessful,Number of Theft And Handling Convictions,Percentage of Theft And Handling Convictions,Number of Theft And Handling Unsuccessful,Percentage of Theft And Handling Unsuccessful,Number of Fraud And Forgery Convictions,Percentage of Fraud And Forgery Convictions,Number of Fraud And Forgery Unsuccessful,Percentage of Fraud And Forgery Unsuccessful,Number of Criminal Damage Convictions,Percentage of Criminal Damage Convictions,Number of Criminal Damage Unsuccessful,Percentage of Criminal Damage Unsuccessful,Number of Drugs Offences Convictions,Percentage of Drugs Offences Convictions,Number of Drugs Offences Unsuccessful,Percentage of Drugs Offences Unsuccessful,Number of Public Order Offences Convictions,Percentage of Public Order Offences Convictions,Number of Public Order Offences Unsuccessful,Percentage of Public Order Offences Unsuccessful,Number of All Other Offences (excluding Motoring) Convictions,Percentage of All Other Offences (excluding Motoring) Convictions,Number of All Other Offences (excluding Motoring) Unsuccessful,Percentage of All Other Offences (excluding Motoring) Unsuccessful,Number of Motoring Offences Convictions,Percentage of Motoring Offences Convictions,Number of Motoring Offences Unsuccessful,Percentage of Motoring Offences Unsuccessful,Number of Admin Finalised Unsuccessful,Percentage of L Motoring Offences Unsuccessful
National,81,0.853,14,0.147,7805,0.741,2722,0.259,698,0.722,269,0.278,1470,0.867,226,0.133,517,0.817,116,0.183,10045,0.923,840,0.077,666,0.86,108,0.14,2259,0.852,391,0.148,4536,0.942,279,0.058,3549,0.844,654,0.156,2640,0.837,513,0.163,8283,0.863,1314,0.137,718,1
Avon and Somerset,1,1,0,0,167,0.788,45,0.212,36,0.818,8,0.182,37,0.949,2,0.051,9,0.75,3,0.25,266,0.927,21,0.073,11,1,0,0,54,0.9,6,0.1,135,0.985,2,0.015,68,0.861,11,0.139,66,0.805,16,0.195,188,0.836,37,0.164,24,1
Bedfordshire,0,-,0,-,69,0.75,23,0.25,5,0.833,1,0.167,16,0.941,1,0.059,4,1,0,0,98,0.916,9,0.084,8,0.8,2,0.2,20,0.769,6,0.231,45,0.957,2,0.043,29,0.829,6,0.171,11,0.647,6,0.353,40,0.889,5,0.111,16,1
Cambridgeshire,0,-,0,-,99,0.811,23,0.189,6,0.667,3,0.333,8,1,0,0,6,0.857,1,0.143,107,0.915,10,0.085,7,1,0,0,21,0.955,1,0.045,40,0.952,2,0.048,45,0.833,9,0.167,6,0.75,2,0.25,79,0.929,6,0.071,4,1
Cheshire,1,0.5,1,0.5,140,0.749,47,0.251,17,0.85,3,0.15,26,0.897,3,0.103,1,1,0,0,206,0.981,4,0.019,16,0.889,2,0.111,35,0.795,9,0.205,75,0.882,10,0.118,86,0.925,7,0.075,50,0.893,6,0.107,209,0.946,12,0.054,1,1
Cleveland,0,-,0,-,85,0.675,41,0.325,11,0.733,4,0.267,25,0.714,10,0.286,5,0.714,2,0.286,254,0.888,32,0.112,6,0.75,2,0.25,32,0.8,8,0.2,63,0.9,7,0.1,74,0.733,27,0.267,28,0.848,5,0.152,124,0.879,17,0.121,10,1
Cumbria,0,-,0,-,77,0.802,19,0.198,8,0.889,1,0.111,12,0.923,1,0.077,1,1,0,0,108,0.947,6,0.053,5,1,0,0,37,0.949,2,0.051,42,0.955,2,0.045,40,0.952,2,0.048,64,0.985,1,0.015,95,0.905,10,0.095,12,1
Derbyshire,0,-,0,-,151,0.726,57,0.274,8,0.571,6,0.429,31,0.912,3,0.088,8,0.727,3,0.273,203,0.931,15,0.069,11,0.55,9,0.45,40,0.851,7,0.149,75,0.893,9,0.107,50,0.926,4,0.074,46,0.754,15,0.246,258,0.952,13,0.048,16,1
Devon and Cornwall,1,1,0,0,157,0.758,50,0.242,11,0.733,4,0.267,16,0.941,1,0.059,6,1,0,0,151,0.938,10,0.062,8,1,0,0,56,0.903,6,0.097,70,0.921,6,0.079,65,0.765,20,0.235,64,0.821,14,0.179,189,0.917,17,0.083,15,1
Dorset,0,-,0,-,73,0.82,16,0.18,1,1,0,0,18,0.947,1,0.053,3,1,0,0,123,0.918,11,0.082,7,0.778,2,0.222,24,0.857,4,0.143,29,0.935,2,0.065,45,0.938,3,0.063,25,0.962,1,0.038,71,0.91,7,0.09,5,1
